Data;UF;Cidade;Fone_Discado;Resposta_Tentativa;Qtde
30/06/2015;TO;XAMBIOA;8000316563;UC;1
30/06/2015;TO;XAMBIOA;8000316563;OK;143
30/06/2015;TO;WANDERLANDIA;8000316563;OK;38
30/06/2015;TO;WANDERLANDIA;8000316563;LI;1
30/06/2015;TO;WANDERLANDIA;8000316563;EL;1
30/06/2015;TO;TOCANTINOPOLIS;8000316563;TO;1
30/06/2015;TO;TOCANTINOPOLIS;8000316563;OK;253
30/06/2015;TO;TOCANTINOPOLIS;8000316563;LO;2
30/06/2015;TO;TOCANTINOPOLIS;8000316563;LN;1
30/06/2015;TO;TOCANTINIA;8000316563;OK;4
30/06/2015;TO;TOCANTINIA;8000316563;LI;1
30/06/2015;TO;TOCANTINIA;8000316563;OK;2
30/06/2015;TO;TAQUARUSSU DO TOCANTINS;8000316563;OK;25
30/06/2015;TO;TAQUARUSSU DO TOCANTINS;8000316563;LI;1
30/06/2015;TO;TAQUARALTO;8000316563;OK;35
30/06/2015;TO;TAQUARALTO;8000316563;LI;1
30/06/2015;TO;TAQUARALTO;8000316563;TO;2
30/06/2015;TO;TAQUARALTO;8000316563;OK;153
30/06/2015;TO;TAQUARALTO;8000316563;LI;4
30/06/2015;TO;TAQUARALTO;8000316563;EX;2
30/06/2015;TO;TALISMA;8000316563;TO;1
30/06/2015;TO;TALISMA;8000316563;OK;9
30/06/2015;TO;TAIPAS DO TOCANTINS;8000316563;OK;6
30/06/2015;TO;TAIPAS DO TOCANTINS;8000316563;LI;2
30/06/2015;TO;TAGUATINGA;8000316563;OK;80
30/06/2015;TO;TAGUATINGA;8000316563;LO;1
30/06/2015;TO;TAGUATINGA;8000316563;LI;5
30/06/2015;TO;SITIO NOVO DO TOCANTINS;8000316563;OK;20
30/06/2015;TO;SITIO NOVO DO TOCANTINS;8000316563;LI;1
30/06/2015;TO;SITIO NOVO DO TOCANTINS;8000316563;EC;2
30/06/2015;TO;SILVANOPOLIS;8000316563;OK;15
30/06/2015;TO;SILVANOPOLIS;8000316563;LI;4
30/06/2015;TO;SAO VALERIO DA NATIVIDADE;8000316563;OK;38
30/06/2015;TO;SAO VALERIO DA NATIVIDADE;8000316563;LI;3
30/06/2015;TO;SAO SEBASTIAO DO TOCANTINS;8000316563;OK;5
30/06/2015;TO;SAO MIGUEL DO TOCANTINS;8000316563;OK;1
30/06/2015;TO;SAO FELIX DO TOCANTINS;8000316563;OK;1
30/06/2015;TO;SAO BENTO DO TOCANTINS;8000316563;OK;12
30/06/2015;TO;SANTA TEREZINHA DO TOCANTINS;8000316563;OK;2
30/06/2015;TO;SANTA ROSA DO TOCANTINS;8000316563;UC;1
30/06/2015;TO;SANTA ROSA DO TOCANTINS;8000316563;TO;2
30/06/2015;TO;SANTA ROSA DO TOCANTINS;8000316563;OK;23
30/06/2015;TO;SANTA ROSA DO TOCANTINS;8000316563;LN;1
30/06/2015;TO;SANTA ROSA DO TOCANTINS;8000316563;LI;1
30/06/2015;TO;SANTA RITA DO TOCANTINS;8000316563;OK;5
30/06/2015;TO;SANTA MARIA DO TOCANTINS;8000316563;OK;16
30/06/2015;TO;SANTA MARIA DO TOCANTINS;8000316563;LN;1
30/06/2015;TO;SANTA FE DO ARAGUAIA;8000316563;OK;40
30/06/2015;TO;SANTA FE DO ARAGUAIA;8000316563;LI;2
30/06/2015;TO;SANDOLANDIA;8000316563;TO;3
30/06/2015;TO;SANDOLANDIA;8000316563;OK;31
30/06/2015;TO;SANDOLANDIA;8000316563;LO;1
30/06/2015;TO;SANDOLANDIA;8000316563;LI;2
30/06/2015;TO;SANDOLANDIA;8000316563;EX;1
30/06/2015;TO;RIO SONO;8000316563;UC;2
30/06/2015;TO;RIO SONO;8000316563;TO;1
30/06/2015;TO;RIO SONO;8000316563;OK;32
30/06/2015;TO;RIO SONO;8000316563;LI;2
30/06/2015;TO;RIO SONO;8000316563;EX;7
