Data;UF;Cidade;Fone_Discado;Resposta_Tentativa;Qtde
01/07/2015;TO;XAMBIOA;08000316563;OK;1
01/07/2015;TO;TOCANTINOPOLIS;08000316563;OK;1
01/07/2015;TO;TAQUARALTO;08000316563;OK;1
01/07/2015;TO;TAGUATINGA;08000316563;OK;2
01/07/2015;TO;PORTO NACIONAL;08000316563;OK;2
01/07/2015;TO;PONTE ALTA DO TOCANTINS;08000316563;OK;1
01/07/2015;TO;PIUM;08000316563;OK;1
01/07/2015;TO;PEDRO AFONSO;08000316563;OK;1
01/07/2015;TO;PARAISO DO TOCANTINS;08000316563;OK;3
01/07/2015;TO;PALMAS;08000316563;OK;11
01/07/2015;TO;PALMAS;08000316563;LI;1
01/07/2015;TO;NOVA OLINDA;08000316563;OK;1
01/07/2015;TO;GURUPI;08000316563;OK;2
01/07/2015;TO;GUARAI;08000316563;OK;2
01/07/2015;TO;FORMOSO DO ARAGUAIA;08000316563;OK;1
01/07/2015;TO;FATIMA;08000316563;EX;1
01/07/2015;TO;DIVINOPOLIS DO TOCANTINS;08000316563;OK;1
01/07/2015;TO;DIANOPOLIS;08000316563;OK;1
01/07/2015;TO;BURITI DO TOCANTINS;08000316563;OK;1
01/07/2015;TO;BANDEIRANTES DO TOCANTINS;08000316563;LI;1
01/07/2015;TO;ARAGUATINS;08000316563;OK;1
01/07/2015;TO;ARAGUAINA;08000316563;TO;1
01/07/2015;TO;ARAGUAINA;08000316563;OK;5
01/07/2015;TO;ARAGUAINA;08000316563;LI;3
01/07/2015;TO;ARAGUAINA;08000316563;EX;2
01/07/2015;TO;ANANAS;08000316563;OK;1
01/07/2015;TO;ALMAS;08000316563;OK;1
01/07/2015;SP;VOTUPORANGA;08000316563;OK;1
01/07/2015;SP;VINHEDO;08000316563;OK;1
01/07/2015;SP;VALINHOS;08000316563;OK;1
01/07/2015;SP;URANIA;08000316563;OK;1
01/07/2015;SP;TUPA;08000316563;LI;1
01/07/2015;SP;TEODORO SAMPAIO;08000316563;LO;1
01/07/2015;SP;TAUBATE;08000316563;OK;2
01/07/2015;SP;TABOAO DA SERRA;28285950;OK;1
01/07/2015;SP;TABOAO DA SERRA;28285950;LI;1
01/07/2015;SP;TABOAO DA SERRA;08000316563;OK;1
01/07/2015;SP;TABOAO DA SERRA;08000316563;LO;1
01/07/2015;SP;SUZANO;08000316563;OK;2
01/07/2015;SP;SOROCABA;08000316563;OK;3
01/07/2015;SP;SOCORRO;08000316563;OK;1
01/07/2015;SP;SERTAOZINHO;08000316563;OK;1
01/07/2015;SP;SAO VICENTE;08000316563;OK;4
01/07/2015;SP;SAO ROQUE;08000316563;OK;1
01/07/2015;SP;SAO PAULO;28285950;OK;8
01/07/2015;SP;SAO PAULO;08000316563;OK;6
01/07/2015;SP;SAO PAULO;08000316563;LI;2
01/07/2015;SP;SAO PAULO;40206564;OK;3
01/07/2015;SP;SAO PAULO;40206564;LO;1
01/07/2015;SP;SAO PAULO;08000316563;TO;4
01/07/2015;SP;SAO PAULO;08000316563;OK;112
01/07/2015;SP;SAO PAULO;08000316563;LN;4
01/07/2015;SP;SAO PAULO;08000316563;LI;19
01/07/2015;SP;SAO PAULO;08000316563;EX;1
01/07/2015;SP;SAO JOSE DOS CAMPOS;08000316563;OK;1
01/07/2015;SP;SAO JOSE DOS CAMPOS;08000316563;OK;2
01/07/2015;SP;SAO JOSE DO RIO PRETO;08000316563;OK;2
01/07/2015;SP;SAO CARLOS;08000316563;OK;1
01/07/2015;SP;SAO CARLOS;08000316563;LO;1
01/07/2015;SP;SAO CAETANO DO SUL;08000316563;OK;1
01/07/2015;SP;SAO CAETANO DO SUL;08000316563;LN;1
01/07/2015;SP;SAO BERNARDO DO CAMPO;28285950;OK;1
01/07/2015;SP;SAO BERNARDO DO CAMPO;08000316563;OK;6
01/07/2015;SP;SAO BERNARDO DO CAMPO;08000316563;LI;1
01/07/2015;SP;SANTOS;08000316563;OK;1
01/07/2015;SP;SANTOS;08000316563;OK;3
01/07/2015;SP;SANTOS;08000316563;LI;1
01/07/2015;SP;SANTOS;08000316563;EX;1
01/07/2015;SP;SANTO ANDRE;28285950;OK;1
01/07/2015;SP;SANTO ANDRE;08000316563;OK;2
01/07/2015;SP;SANTO ANDRE;08000316563;OK;3
01/07/2015;SP;SANTO ANDRE;08000316563;LO;1
01/07/2015;SP;SANTO ANDRE;08000316563;LI;1
01/07/2015;SP;SANTO ANDRE;08000316563;EX;1
01/07/2015;SP;SANTANA DE PARNAIBA;08000316563;OK;1
01/07/2015;SP;S PAULO;08000316563;OK;1
01/07/2015;SP;ROSEIRA;08000316563;LI;1
01/07/2015;SP;RIO GRANDE DA SERRA;08000316563;OK;2
01/07/2015;SP;RIO CLARO;08000316563;OK;1
01/07/2015;SP;RIO CLARO;08000316563;OK;1
01/07/2015;SP;RIBEIRAO PRETO;08000316563;TO;1
01/07/2015;SP;RIBEIRAO PRETO;08000316563;OK;1
01/07/2015;SP;RIBEIRAO PIRES;08000316563;OK;3
01/07/2015;SP;RIBEIRAO BONITO;08000316563;OK;1
01/07/2015;SP;REGISTRO;08000316563;OK;1
01/07/2015;SP;PROMISSAO;08000316563;LI;1
01/07/2015;SP;PRAIA GRANDE;08000316563;LI;2
01/07/2015;SP;PORTO FERREIRA;08000316563;OK;1
01/07/2015;SP;PORTO FELIZ;08000316563;OK;1
01/07/2015;SP;POA;40206564;OK;1
01/07/2015;SP;PLATINA;08000316563;OK;1
01/07/2015;SP;PITANGUEIRAS;08000316563;OK;1
01/07/2015;SP;PIRACICABA;08000316563;OK;8
01/07/2015;SP;PIRACICABA;08000316563;EX;1
01/07/2015;SP;PERUIBE;08000316563;OK;1
01/07/2015;SP;PENAPOLIS;08000316563;OK;1
01/07/2015;SP;PEDRO DE TOLEDO;08000316563;OK;1
01/07/2015;SP;PEDREIRA;08000316563;OK;1
01/07/2015;SP;PEDERNEIRAS;08000316563;LI;1
01/07/2015;SP;PALMITAL;08000316563;OK;2
01/07/2015;SP;PALMARES PAULISTA;08000316563;OK;1
01/07/2015;SP;OURINHOS;08000316563;OK;2
01/07/2015;SP;OSASCO;28285950;OK;1
01/07/2015;SP;OSASCO;08000316563;OK;5
01/07/2015;SP;OSASCO;08000316563;LI;2
01/07/2015;SP;ORLANDIA;08000316563;OK;1
01/07/2015;SP;MORRO AGUDO;08000316563;OK;1
01/07/2015;SP;MONTE ALTO;08000316563;OK;1
01/07/2015;SP;MONTE ALTO;08000316563;OK;1
01/07/2015;SP;MONTE ALTO;08000316563;LI;1
01/07/2015;SP;MOGI DAS CRUZES;08000316563;OK;1
01/07/2015;SP;MOGI DAS CRUZES;08000316563;LI;1
01/07/2015;SP;MOCOCA;08000316563;OK;1
01/07/2015;SP;MOCOCA;08000316563;OK;1
01/07/2015;SP;MIRASSOL;08000316563;OK;1
01/07/2015;SP;MIRANDOPOLIS;08000316563;LI;1
01/07/2015;SP;MAUA;08000316563;OK;4
01/07/2015;SP;MATAO;08000316563;OK;2
01/07/2015;SP;MARILIA;08000316563;OK;2
01/07/2015;SP;MAIRINQUE;08000316563;OK;1
01/07/2015;SP;LORENA;08000316563;OK;1
01/07/2015;SP;LIMEIRA;08000316563;OK;2
01/07/2015;SP;LEME;08000316563;OK;1
01/07/2015;SP;JUNDIAI;08000316563;UC;1
01/07/2015;SP;JUNDIAI;08000316563;OK;6
01/07/2015;SP;JUNDIAI;08000316563;LN;1
01/07/2015;SP;JUNDIAI;08000316563;LI;2
01/07/2015;SP;JAU;08000316563;OK;2
01/07/2015;SP;JALES;08000316563;OK;1
01/07/2015;SP;JAGUARIUNA;08000316563;OK;1
01/07/2015;SP;JABOTICABAL;08000316563;OK;1
01/07/2015;SP;ITUPEVA;08000316563;OK;1
01/07/2015;SP;ITU;08000316563;OK;3
01/07/2015;SP;ITU;08000316563;LI;1
01/07/2015;SP;ITATIBA;08000316563;TO;1
01/07/2015;SP;ITARARE;08000316563;OK;1
01/07/2015;SP;ITAQUAQUECETUBA;08000316563;OK;2
01/07/2015;SP;ITAPIRA;08000316563;OK;1
01/07/2015;SP;ITAPEVI;08000316563;OK;1
01/07/2015;SP;ITAPEVA;08000316563;LI;1
01/07/2015;SP;ITAPETININGA;08000316563;OK;4
01/07/2015;SP;ITAPECERICA DA SERRA;28285950;LN;1
01/07/2015;SP;ITAPECERICA DA SERRA;08000316563;OK;2
01/07/2015;SP;ITANHAEM;08000316563;OK;2
01/07/2015;SP;ITAI;08000316563;OK;1
01/07/2015;SP;IPUA;08000316563;LI;1
