operadora;localidade;UF;data;TOTAL_DE_CHAMADAS;PERDAS_OI_ABS;PERDAS_OI
Telefônica;SAO PAULO;SP;2015-06-22;226825;7115;3,14
OI Fixa;RIO DE JANEIRO;RJ;2015-06-22;123341;2690;2,18
Embratel;SAO PAULO;SP;2015-06-22;45054;2314;5,14
OI Fixa;BELO HORIZONTE;MG;2015-06-22;34078;869;2,55
GVT;CURITIBA;PR;2015-06-22;31293;998;3,19
OI Fixa;SALVADOR;BA;2015-06-22;18286;512;2,8
BrT Fixa;BRASILIA;DF;2015-06-22;16439;801;4,87
Telefônica;GUARULHOS;SP;2015-06-22;15332;363;2,37
BrT Fixa;CURITIBA;PR;2015-06-22;14200;358;2,52
Embratel;RIO DE JANEIRO;RJ;2015-06-22;12885;407;3,16
BrT Fixa;PORTO ALEGRE;RS;2015-06-22;11396;185;1,62
Telefônica;OSASCO;SP;2015-06-22;11040;395;3,58
GVT;BELO HORIZONTE;MG;2015-06-22;10819;136;1,26
Telefônica;CAMPINAS;SP;2015-06-22;10575;671;6,35
GVT;BRASILIA;DF;2015-06-22;10366;625;6,03
GVT;SALVADOR;BA;2015-06-22;9563;119;1,24
OI Fixa;FORTALEZA;CE;2015-06-22;9501;174;1,83
OI Fixa;PETROPOLIS;RJ;2015-06-22;9322;158;1,69
GVT;PORTO ALEGRE;RS;2015-06-22;8858;233;2,63
Algar Telecom;UBERLANDIA;MG;2015-06-22;8855;154;1,74
GVT;GOIANIA;GO;2015-06-22;8743;205;2,34
OI Fixa;JUIZ DE FORA;MG;2015-06-22;8125;161;1,98
OI Fixa;NITEROI;RJ;2015-06-22;8113;105;1,29
OI Fixa;NOVA IGUACU;RJ;2015-06-22;7706;237;3,08
Telefônica;SANTO ANDRE;SP;2015-06-22;7700;346;4,49
Telefônica;SAO BERNARDO DO CAMPO;SP;2015-06-22;7121;193;2,71
GVT;RIO DE JANEIRO;RJ;2015-06-22;7095;84;1,18
GVT;FORTALEZA;CE;2015-06-22;7036;88;1,25
BrT Fixa;PALMAS;TO;2015-06-22;6833;252;3,69
BrT Fixa;PORTO VELHO;RO;2015-06-22;6773;297;4,39
Embratel;BELO HORIZONTE;MG;2015-06-22;6756;132;1,95
Telefônica;SAO JOSE DOS CAMPOS;SP;2015-06-22;6608;115;1,74
OI Fixa;VOLTA REDONDA;RJ;2015-06-22;6565;302;4,6
Telefônica;ITUPEVA;SP;2015-06-22;6382;195;3,06
Telefônica;SUZANO;SP;2015-06-22;6358;167;2,63
GVT;SERRA;ES;2015-06-22;6277;85;1,35
OI Fixa;DUQUE DE CAXIAS;RJ;2015-06-22;6242;81;1,3
OI Fixa;SAO GONCALO;RJ;2015-06-22;6150;221;3,59
Embratel;CAMPINAS;SP;2015-06-22;6144;155;2,52
BrT Fixa;GOIANIA;GO;2015-06-22;6140;105;1,71
GVT;MARINGA;PR;2015-06-22;6134;169;2,76
Telefônica;JUNDIAI;SP;2015-06-22;5902;223;3,78
OI Fixa;MACAE;RJ;2015-06-22;5845;90;1,54
Telefônica;BARUERI;SP;2015-06-22;5678;143;2,52
Telefônica;MOGI DAS CRUZES;SP;2015-06-22;5646;131;2,32
GVT;CUIABA;MT;2015-06-22;5629;2741;48,69
Telefônica;SAO JOSE DO RIO PRETO;SP;2015-06-22;5523;167;3,02
OI Fixa;VILA VELHA;ES;2015-06-22;5426;39;0,72
Telefônica;SANTOS;SP;2015-06-22;5358;180;3,36
Telefônica;BAURU;SP;2015-06-22;5220;100;1,92
Telefônica;DIADEMA;SP;2015-06-22;5063;93;1,84
OI Fixa;MANAUS;AM;2015-06-22;5035;216;4,29
OI Fixa;CONTAGEM;MG;2015-06-22;5027;132;2,63
OI Fixa;VITORIA;ES;2015-06-22;5012;49;0,98
Telefônica;RIBEIRAO PRETO;SP;2015-06-22;4960;191;3,85
Telefônica;SOROCABA;SP;2015-06-22;4916;310;6,31
GVT;VITORIA;ES;2015-06-22;4896;27;0,55
OI Fixa;SERRA;ES;2015-06-22;4873;80;1,64
OI Fixa;CAMPOS DOS GOYTACAZES;RJ;2015-06-22;4763;66;1,39
BrT Fixa;CUIABA;MT;2015-06-22;4657;294;6,31
Telefônica;TABOAO DA SERRA;SP;2015-06-22;4610;137;2,97
OI Fixa;BETIM;MG;2015-06-22;4400;141;3,2
BrT Fixa;JI-PARANA;RO;2015-06-22;4380;170;3,88
BrT Fixa;ARIQUEMES;RO;2015-06-22;4379;351;8,02
GVT;JOINVILLE;SC;2015-06-22;4365;47;1,08
Telefônica;CARAPICUIBA;SP;2015-06-22;4180;177;4,23
GVT;VILA VELHA;ES;2015-06-22;4136;32;0,77
OI Fixa;MONTES CLAROS;MG;2015-06-22;4102;67;1,63
BrT Fixa;SINOP;MT;2015-06-22;4099;178;4,34
Telefônica;PRAIA GRANDE;SP;2015-06-22;4083;133;3,26
OI Fixa;IPATINGA;MG;2015-06-22;4069;101;2,48
Telefônica;ITAQUAQUECETUBA;SP;2015-06-22;4021;184;4,58
Telefônica;PIRACICABA;SP;2015-06-22;4020;341;8,48
Telefônica;EMBU DAS ARTES;SP;2015-06-22;3974;153;3,85
Algar Telecom;UBERABA;MG;2015-06-22;3961;59;1,49
Telefônica;BOTUCATU;SP;2015-06-22;3874;63;1,63
OI Fixa;CABO FRIO;RJ;2015-06-22;3847;213;5,54
BrT Fixa;ARAGUAINA;TO;2015-06-22;3828;119;3,11
OI Fixa;SAO JOAO DE MERITI;RJ;2015-06-22;3821;150;3,93
GVT;GUARULHOS;SP;2015-06-22;3755;420;11,19
OI Fixa;BARRA MANSA;RJ;2015-06-22;3738;180;4,82
Telefônica;SAO VICENTE;SP;2015-06-22;3665;91;2,48
OI Fixa;RESENDE;RJ;2015-06-22;3615;79;2,19
